anio,mes_nro,mes,jurisdiccion,apellido_nombre,cargo,asignacion_mensual,sac,otros,observaciones
2020,9,Septiembre,Presidencia de la Nación,"Fernandez, Cristina Elisabet",Vice-presidente ,328419.59,,,
2020,9,Septiembre,Jefatura de Gabinete de Ministros,"Cafiero, Santiago Andres",Ministro,312657.00,,,
2020,9,Septiembre,Del Interior,"De Pedro, Eduardo Enrique",Ministro,312646.12,,,
2020,9,Septiembre,"Relaciones Exteriores, Comercio Internacional y Culto","Sola, Felipe Carlos",Ministro,312646.14,,,
2020,9,Septiembre,Defensa,"Rossi, Agustin Oscar",Ministro,312646.13,,,
2020,9,Septiembre,Economía,"Guzman, Martin Maximiliano",Ministro,312656.57,,,
2020,9,Septiembre,Desarrollo Productivo,"Kulfas, Matias Sebastian",Ministro,312646.13,,,
2020,9,Septiembre,"Agricultura, Ganadería y Pesca","Basterra, Luis Eugenio",Ministro,312656.57,,,
2020,9,Septiembre,Justicia y Derechos Humanos,"Losardo, Marcela",Ministro,312646.14,,,
2020,9,Septiembre,Desarrollo Social,"Arroyo, Daniel Fernando",Ministro,312646.14,,,
2020,9,Septiembre,"Trabajo, Empleo y Seguridad Social","Moroni, Claudio Omar",Ministro,312646.13,,,
2020,9,Septiembre,Salud,"Gonzalez Garcia, Gines Mario",Ministro,312646.14,,,
2020,9,Septiembre,Educación,"Trotta, Nicolas Alfredo",Ministro,312646.13,,,
2020,9,Septiembre,Cultura,"Bauer, Tristan",Ministro,312645.61,,,
2020,9,Septiembre,"Ciencia, Tecnología e Innovación","Salvarezza, Roberto Carlos",Ministro,312646.14,,,
2020,9,Septiembre,Obras Públicas,"Katopodis, Gabriel Nicolas",Ministro,312646.12,,,
2020,9,Septiembre,Desarrollo Territorial y Hábitat,"Bielsa, Maria Eugenia",Ministro,312646.12,,,
2020,9,Septiembre,Seguridad,"Frederic, Sabina Andrea",Ministro,312646.13,,,
2020,9,Septiembre,Transporte,"Meoni, Mario Andres",Ministro,312646.14,,,
2020,9,Septiembre,"Mujeres, Géneros y Diversidad","Gomez Alcorta, Elizabeth Victoria",Ministro,312646.14,58161.54,,
2020,9,Septiembre,Turismo y Deportes,"Lammens Nuñez, Matias Daniel",Ministro,312646.14,,,
2020,9,Septiembre,Ambiente y Desarrollo Sostenible,"Cabandie, Juan",Ministro,312646.13,,,
2020,9,Septiembre,Secretaría General,"Vitobello, Julio Fernando",Secretario,312646.43,,,
2020,9,Septiembre,Secretaría Legal y Técnica,"Ibarra, Vilma Lidia",Secretario,312646.13,,,
2020,9,Septiembre,Secretaría de Asuntos Estratégicos,"Beliz, Gustavo Osvaldo",Secretario,312646.43,,,
